pair,V1,V2,genetic,range_01,niche_relrank,niche_i,niche_d,depth,range_depth_combined,photo_av_total,highest_photo_av,lowest_photo_av,,,,,,,,,,,,,,,,,,,,,,,
17,sister_sp,Benthosema_suborbitale,0.297080904,0.910177761,0.549115545,0.592582456,0.476714889,0.528898446,0.481391603,26.5,38.5,14.5,,,,,,,,,,,,,,,,,,,,,,,
18,sister_sp,Electrona_risso,0.076844209,0.32697076,0.151536886,0.187859148,0.11978758,0.764630542,0.250011829,143.25,143.25,143.25,,,,,,,,,,,,,,,,,,,,,,,
19,sister_sp,Electrona_antarctica,0.086337587,0.553172913,0.446529152,0.444238554,0.343607734,0.53138159,0.293945902,173,176.25,169.75,,,,,,,,,,,,,,,,,,,,,,,
20,sister_sp,Centrobranchus_andreae,0.160986861,0.132174054,0.466235169,0.049039941,0.030465457,0.425393495,0.056225983,22.75,22.75,22.75,,,,,,,,,,,,,,,,,,,,,,,
21,sister_sp,Gymnoscopelus_opisthopterus,0.094520382,0.77810213,0.778159539,0.724019409,0.51291771,0.514602671,0.400413434,24.5,35.25,13.75,,,,,,,,,,,,,,,,,,,,,,,
22,sister_sp,Gymnoscopelus_piabilis,0.132939642,0.611085555,0.677052566,0.528129297,0.377263122,0.517905506,0.316484574,41.375,44,38.75,,,,,,,,,,,,,,,,,,,,,,,
23,sister_sp,Myctophum_punctatum,0.242487368,0.005286522,0.68008918,0.001425975,0.00100288,0.482044818,0.00254834,138,138,138,,,,,,,,,,,,,,,,,,,,,,,
24,sister_sp,Hygophum_proximum,0.080881697,0.523693624,0.422191305,0.382690581,0.283656351,0.747848207,0.391643338,26,26,26,,,,,,,,,,,,,,,,,,,,,,,
25,sister_sp,Protomyctophum_parallelum,0.062812498,0.944417718,0.866058883,0.895175387,0.732785626,0.522910208,0.493845665,59.625,81.5,37.75,,,,,,,,,,,,,,,,,,,,,,,
26,sister_sp,Lampadena_luminosa,0.194202034,0.850050346,0.611069728,0.670316852,0.4932827,0.619008301,0.526188221,14.75,14.75,14.75,,,,,,,,,,,,,,,,,,,,,,,
27,sister_sp,Taaningichthys_minimus,0.229598222,0.431327312,0.450303748,0.389170833,0.264066415,0.806559323,0.347891065,14,14,14,,,,,,,,,,,,,,,,,,,,,,,
28,sister_sp,Lampanyctus_intricarius,0.129116866,0.837901709,0.773551905,0.839994838,0.706356608,0.724877182,0.607375829,9.75,9.75,9.75,,,,,,,,,,,,,,,,,,,,,,,
29,sister_sp,Nannobrachium_idiostigma,0.043147472,0.755145213,0.261840116,0.178824039,0.055591242,0.502613754,0.37954637,40,40,40,,,,,,,,,,,,,,,,,,,,,,,
30,sister_sp,Nannobrachium_regale,0.052439297,0.925049539,0.952138333,0.869610395,0.692482854,0.564473374,0.522165835,43.375,55.75,31,,,,,,,,,,,,,,,,,,,,,,,
31,sister_sp,Lampanyctus_photonotus,0.115500611,0.674228985,0.652889277,0.458876755,0.31317027,0.657850698,0.443542008,3.75,3.75,3.75,,,,,,,,,,,,,,,,,,,,,,,
32,sister_sp,Lampanyctus_hubbsi,0.10334078,0.78485646,0.555574183,0.370503015,0.18756003,0.858163265,0.673534982,11,11,11,,,,,,,,,,,,,,,,,,,,,,,
33,sister_sp,Lampanyctus_vadulus,0.102544544,0.33601047,0.622212045,0.173595255,0.094966508,NA,NA,15,15,15,,,,,,,,,,,,,,,,,,,,,,,
34,sister_sp,Ceratoscopelus_townsendi,0.342300179,0.840187628,0.367297206,0.458819794,0.236312275,0.551163484,0.463080741,68.75,110,27.5,,,,,,,,,,,,,,,,,,,,,,,
35,sister_sp,Diaphus_dumerilii,0.279282705,0.880528009,0.465972469,0.612835858,0.418112365,0.678383364,0.597335552,37.5,45.75,29.25,,,,,,,,,,,,,,,,,,,,,,,
36,sister_sp,Myctophum_phengodes,0.266002495,0.30775088,0.44370339,0.162748813,0.088775931,0.638671367,0.196551675,115.625,136.5,94.75,,,,,,,,,,,,,,,,,,,,,,,
37,sister_sp,Electrona_antarctica,0.087240748,0.498550578,0.522644983,0.257833658,0.163497737,0.485243751,0.241918552,62.5,62.5,62.5,,,,,,,,,,,,,,,,,,,,,,,
38,sister_sp,Myctophum_punctatum,0.185928865,0.814312618,0.502569111,0.297205326,0.141161682,0.687384584,0.55974594,55.5,68.5,42.5,,,,,,,,,,,,,,,,,,,,,,,
39,sister_sp,Myctophum_selenops,0.136390243,0.899825082,0.617941428,0.732025676,0.56971266,0.824399264,0.741815135,43,44,42,,,,,,,,,,,,,,,,,,,,,,,
40,sister_sp,Myctophum_asperum,0.113081041,0.950300421,0.613416753,0.701406428,0.524508331,0.843273092,0.801362774,69.875,117.5,22.25,,,,,,,,,,,,,,,,,,,,,,,
41,sister_sp,Nannobrachium_achirus,0.161273957,0.290108907,0.180599891,0.100854753,0.066306597,0.81526164,0.236514663,19.25,19.25,19.25,,,,,,,,,,,,,,,,,,,,,,,
42,sister_sp,Protomyctophum_arcticum,0.035408787,0,0.814177202,0,0,0.579003118,0,94.125,94.25,94,,,,,,,,,,,,,,,,,,,,,,,
43,sister_sp,Parvilux_ingens,0.12000287,0.736814457,0.918533369,0.510960989,0.323004767,0.600284635,0.442298397,30.5,40.75,20.25,,,,,,,,,,,,,,,,,,,,,,,
44,sister_sp,Symbolophorus_californiensis,0.112250351,0.238720463,0.375326864,0.069943777,0.037215246,0.878,0.209596566,4.75,4.75,4.75,,,,,,,,,,,,,,,,,,,,,,,
45,sister_sp,Protomyctophum_tenisoni,0.349075253,0.155363935,0.394967206,0.092158753,0.064849427,0.925188692,0.143740956,131.25,164.75,97.75,,,,,,,,,,,,,,,,,,,,,,,
46,sister_sp,Parvilux_ingens,0.2109408,0.843594593,0.621980453,0.372147004,0.186394862,0.799736561,0.674653439,102,102,102,,,,,,,,,,,,,,,,,,,,,,,
